occurrence_datetime,offense,borough,precinct,latitude,longitude,sector,jurisdiction,compstat_date,object_id,identifier,xcoord,ycoord
2010-03-01 00:00,GRAND LARCENY,BRONX,49,40.85671,-73.86427,D,N.Y. POLICE DEPT,2010-08-30,480562,8d197efc,1021797,251427
2010-03-01 00:00,GRAND LARCENY OF MOTOR VEHICLE,BRONX,50,40.88083,-73.9084,F,N.Y. POLICE DEPT,2011-12-15,480563,47f67f3f,1009580,260197
2010-03-01 00:01,RAPE,BROOKLYN,60,40.57616,-73.97598,J,N.Y. POLICE DEPT,2010-10-19,480564,e417f822,990922,149184
2010-03-01 00:01,RAPE,STATEN ISLAND,120,40.64473,-74.07748,H,N.Y. POLICE DEPT,2012-05-10,480565,9cc7bea4,962748,174174
2010-03-01 00:01,GRAND LARCENY,BROOKLYN,88,40.69445,-73.978,J,N.Y. HOUSING POLICE,2010-03-05,480566,95d8bfa7,990351,192282
2010-03-01 00:01,RAPE,QUEENS,104,40.70427,-73.89355,D,N.Y. POLICE DEPT,2010-11-16,480873,f493e73,1013764,195875
2010-03-01 00:01,GRAND LARCENY,BROOKLYN,90,40.71232,-73.94087,I,N.Y. POLICE DEPT,2012-08-22,480874,c7676866,1000644,198797
2010-03-01 00:01,GRAND LARCENY,MANHATTAN,5,40.71594,-74.00378,G,N.Y. POLICE DEPT,2010-04-06,480875,b9199fab,983202,200110
2010-03-01 00:01,GRAND LARCENY,QUEENS,112,40.72415,-73.85293,B,N.Y. POLICE DEPT,2010-09-29,480876,219e97eb,1025016,203135
2010-03-01 00:01,GRAND LARCENY,MANHATTAN,13,40.73466,-73.97906,A,N.Y. POLICE DEPT,2010-06-02,480877,9857dc06,990054,206931
2010-03-01 00:01,GRAND LARCENY,QUEENS,110,40.73905,-73.87107,E,N.Y. POLICE DEPT,2010-03-06,480878,bb5159e1,1019979,208557
2010-03-01 00:01,GRAND LARCENY,QUEENS,108,40.74833,-73.94849,A,N.Y. POLICE DEPT,2010-03-01,480879,7ccfef8a,998522,211915
2010-03-01 00:01,GRAND LARCENY,MANHATTAN,18,40.76683,-73.99395,K,N.Y. POLICE DEPT,2010-11-05,480880,7752f7f2,985927,218650
2010-03-01 00:01,GRAND LARCENY,BRONX,43,40.82621,-73.85496,D,N.Y. POLICE DEPT,2010-04-02,480881,2d9bcaa6,1024391,240319
2010-03-01 00:01,GRAND LARCENY,MANHATTAN,33,40.8414,-73.93581,C,N.Y. POLICE DEPT,2010-08-17,480882,33504292,1002012,245825
2010-03-01 00:15,ROBBERY,BROOKLYN,67,40.63888,-73.94394,D,N.Y. POLICE DEPT,2010-03-01,480883,d865ea6b,999809,172040
2010-03-01 00:24,FELONY ASSAULT,BRONX,41,40.81792,-73.8989,F,N.Y. POLICE DEPT,2010-03-01,480884,f0a3adf3,1012233,237282
2010-03-01 00:24,FELONY ASSAULT,BRONX,41,40.81792,-73.8989,F,N.Y. POLICE DEPT,2010-03-01,480885,cdc38443,1012233,237282
2010-03-01 00:30,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,115,40.76532,-73.88858,D,N.Y. POLICE DEPT,2010-03-03,480886,950de106,1015116,218119
2010-03-01 00:30,GRAND LARCENY,QUEENS,114,40.76905,-73.92361,K,N.Y. POLICE DEPT,2010-03-02,480887,1781daff,1005409,219470
2010-03-01 01:00,RAPE,BROOKLYN,72,40.65819,-74.00103,G,N.Y. POLICE DEPT,2015-07-03,480888,3d1d3786,983964,179071
2010-03-01 01:00,BURGLARY,QUEENS,110,40.73817,-73.86075,I,N.Y. POLICE DEPT,2010-03-01,480889,6b700e7,1022839,208240
2010-03-01 01:15,ROBBERY,BROOKLYN,73,40.66339,-73.90329,N,N.Y. TRANSIT POLICE,2010-03-01,480890,90185321,1011082,180980
2010-03-01 01:15,BURGLARY,BRONX,45,40.83984,-73.85,K,N.Y. POLICE DEPT,2010-03-01,480891,ce36ebf5,1025754,245288
2010-03-01 01:20,ROBBERY,BROOKLYN,67,40.65054,-73.95583,B,N.Y. POLICE DEPT,2010-03-01,480892,c870b8a2,996508,176285
2010-03-01 02:00,ROBBERY,QUEENS,102,40.6882,-73.84866,D,N.Y. POLICE DEPT,2010-03-01,480893,6f24f4b1,1026222,190041
2010-03-01 02:00,GRAND LARCENY,QUEENS,110,40.7468,-73.87192,D,N.Y. POLICE DEPT,2010-03-01,481196,8f63974d,1019739,211378
2010-03-01 02:30,FELONY ASSAULT,BROOKLYN,77,40.67653,-73.929,J,N.Y. POLICE DEPT,2010-03-01,481197,4b7e9ab8,1003944,185759
2010-03-01 02:45,GRAND LARCENY,MANHATTAN,30,40.82292,-73.95289,B,N.Y. POLICE DEPT,2010-03-01,481198,39be73da,997290,239089
2010-03-01 03:00,GRAND LARCENY,BROOKLYN,75,40.65033,-73.88453,N,N.Y. POLICE DEPT,2010-04-08,481199,2b057caa,1016292,176228
2010-03-01 03:00,FELONY ASSAULT,MANHATTAN,10,40.75155,-74.00359,D,N.Y. POLICE DEPT,2010-03-01,481200,b17ab25a,983256,213085
2010-03-01 03:15,FELONY ASSAULT,QUEENS,102,40.70031,-73.82946,F,N.Y. POLICE DEPT,2010-03-01,481201,e9b0861f,1031538,194463
2010-03-01 03:45,GRAND LARCENY,BROOKLYN,71,40.66345,-73.95847,A,N.Y. POLICE DEPT,2010-03-01,481202,83ae49f3,995771,180988
2010-03-01 03:45,ROBBERY,MANHATTAN,33,40.83381,-73.94135,A,N.Y. POLICE DEPT,2010-03-01,481203,896bebcf,1000481,243059
2010-03-01 04:00,GRAND LARCENY OF MOTOR VEHICLE,BROOKLYN,60,40.57737,-73.96621,B,N.Y. POLICE DEPT,2010-03-01,481204,f42112b8,993637,149625
2010-03-01 04:00,BURGLARY,BROOKLYN,61,40.60306,-73.93518,H,N.Y. POLICE DEPT,2010-03-06,481205,6b1fd1f2,1002250,158991
2010-03-01 04:00,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,115,40.76583,-73.88011,D,N.Y. POLICE DEPT,2010-03-06,481206,43d26209,1017462,218308
2010-03-01 04:45,ROBBERY,QUEENS,102,40.70216,-73.82032,A,N.Y. POLICE DEPT,2010-03-01,481207,6be011ce,1034070,195139
2010-03-01 05:00,GRAND LARCENY,MANHATTAN,19,40.7643,-73.95562,G,N.Y. POLICE DEPT,2010-03-03,481208,a6f885ed,996545,217731
2010-03-01 05:30,BURGLARY,QUEENS,110,40.73645,-73.88757,B,N.Y. POLICE DEPT,2010-03-05,481209,a57ca4f4,1015409,207601
2010-03-01 05:30,BURGLARY,QUEENS,110,40.73985,-73.8866,A,N.Y. POLICE DEPT,2010-03-05,481210,981c8d44,1015674,208841
2010-03-01 05:30,BURGLARY,BRONX,49,40.84835,-73.85866,B,N.Y. POLICE DEPT,2010-03-01,481211,6ed341ab,1023354,248384
2010-03-01 06:00,BURGLARY,BROOKLYN,72,40.64255,-74.01817,G,N.Y. POLICE DEPT,2010-03-01,481212,3e3c6018,979208,173372
2010-03-01 06:00,ROBBERY,BRONX,41,40.81792,-73.8989,F,N.Y. POLICE DEPT,2010-03-01,481213,41b94d24,1012233,237282
2010-03-01 06:15,GRAND LARCENY,BROOKLYN,68,40.63488,-74.01897,F,N.Y. POLICE DEPT,2010-03-02,481214,835ec8ae,978984,170577
2010-03-01 06:30,ROBBERY,MANHATTAN,6,40.73164,-74.00616,E,N.Y. POLICE DEPT,2010-03-01,481215,a6be3899,982543,205828
2010-03-01 06:31,ROBBERY,BROOKLYN,63,40.6247,-73.93907,F,N.Y. POLICE DEPT,2010-03-01,481516,f9e03945,1001165,166875
2010-03-01 07:00,BURGLARY,QUEENS,104,40.70368,-73.86052,C,N.Y. POLICE DEPT,2010-03-02,481517,5b71b5a9,1022924,195674
2010-03-01 07:00,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,109,40.77234,-73.82841,N,N.Y. POLICE DEPT,2010-03-01,481518,9fd19756,1031777,220706
2010-03-01 07:00,FELONY ASSAULT,BRONX,45,40.82803,-73.84134,A,N.Y. POLICE DEPT,2010-03-01,481519,56a3850,1028160,240986
2010-03-01 07:00,ROBBERY,BRONX,43,40.83878,-73.8647,J,N.Y. POLICE DEPT,2010-03-01,481520,be4db35,1021688,244893
2010-03-01 07:15,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,114,40.77573,-73.92167,G,N.Y. POLICE DEPT,2010-03-02,481521,6a2bc15f,1005944,221904
2010-03-01 07:30,BURGLARY,BROOKLYN,71,40.66307,-73.94558,J,N.Y. POLICE DEPT,2010-03-01,481522,11eb8ceb,999349,180853
2010-03-01 07:45,FELONY ASSAULT,QUEENS,100,40.58498,-73.81117,B,N.Y. POLICE DEPT,2010-03-01,481523,cf13c1b5,1036699,152454
2010-03-01 07:57,FELONY ASSAULT,MANHATTAN,10,40.75619,-73.99798,,N.Y. POLICE DEPT,2010-03-01,481524,f6dac88a,984809,214773
2010-03-01 08:00,GRAND LARCENY,BRONX,47,40.88745,-73.84761,A,N.Y. TRANSIT POLICE,2010-03-01,481525,3d6ae87e,1026387,262634
2010-03-01 08:00,FELONY ASSAULT,BROOKLYN,79,40.68887,-73.94453,,N.Y. POLICE DEPT,2010-04-17,481526,19396937,999634,190253
2010-03-01 08:00,BURGLARY,BROOKLYN,73,40.66096,-73.91433,M,N.Y. POLICE DEPT,2010-03-01,481527,edb24881,1008019,180090
2010-03-01 08:00,BURGLARY,BROOKLYN,71,40.66307,-73.94558,J,N.Y. POLICE DEPT,2010-03-01,481528,a0770c2e,999349,180853
2010-03-01 08:00,BURGLARY,BROOKLYN,79,40.68584,-73.95066,H,N.Y. POLICE DEPT,2010-03-01,481529,48be114,997933,189149
2010-03-01 08:00,BURGLARY,QUEENS,113,40.68713,-73.78981,M,N.Y. POLICE DEPT,2010-03-01,481530,81988077,1042543,189685
2010-03-01 08:00,GRAND LARCENY,BROOKLYN,84,40.68811,-73.98039,I,N.Y. POLICE DEPT,2010-04-21,481531,ce9f979c,989689,189972
2010-03-01 08:00,GRAND LARCENY,QUEENS,102,40.70585,-73.83071,F,N.Y. POLICE DEPT,2010-03-26,481532,436ce7f5,1031187,196479
2010-03-01 08:00,RAPE,QUEENS,115,40.75686,-73.87566,I,N.Y. POLICE DEPT,2015-07-12,481533,7f664313,1018699,215043
2010-03-01 08:00,GRAND LARCENY,QUEENS,109,40.75622,-73.82977,E,N.Y. POLICE DEPT,2012-11-14,481534,f4148d7c,1031412,214830
2010-03-01 08:00,BURGLARY,BRONX,40,40.81824,-73.91679,F,N.Y. POLICE DEPT,2010-03-02,481535,bc1e2905,1007282,237391
2010-03-01 08:00,RAPE,BRONX,41,40.81639,-73.8953,G,N.Y. POLICE DEPT,2011-02-13,481836,5fd3593d,1013232,236725
2010-03-01 08:00,GRAND LARCENY,BRONX,42,40.82939,-73.89088,F,N.Y. POLICE DEPT,2013-05-01,481837,d41496c7,1014449,241463
2010-03-01 08:00,GRAND LARCENY,BRONX,48,40.842,-73.892,D,N.Y. POLICE DEPT,2010-08-03,481838,3f17e42a,1014132,246056
2010-03-01 08:00,ROBBERY,MANHATTAN,34,40.86406,-73.92632,D,N.Y. POLICE DEPT,2010-03-01,481839,83248873,1004631,254082
2010-03-01 08:10,FELONY ASSAULT,BROOKLYN,73,40.67384,-73.91673,D,N.Y. POLICE DEPT,2010-03-01,481840,55e8be20,1007348,184784
2010-03-01 08:30,BURGLARY,QUEENS,104,40.71157,-73.87637,M,N.Y. POLICE DEPT,2010-03-01,481841,46748511,1018524,198541
2010-03-01 08:30,GRAND LARCENY,MANHATTAN,14,40.75627,-73.9905,H,PORT AUTHORITY,2010-03-01,481842,c0bceac6,986882,214802
2010-03-01 08:55,GRAND LARCENY,QUEENS,115,40.74894,-73.8716,H,N.Y. POLICE DEPT,2010-03-08,481843,f45c9044,1019827,212159
2010-03-01 09:00,BURGLARY,BROOKLYN,62,40.60588,-73.99873,F,N.Y. POLICE DEPT,2010-03-01,481844,9add084e,984603,160012
2010-03-01 09:00,GRAND LARCENY,BROOKLYN,63,40.62152,-73.92472,C,N.Y. POLICE DEPT,2010-03-07,481845,2bfb5f35,1005150,165719
2010-03-01 09:00,GRAND LARCENY,BROOKLYN,66,40.6342,-73.99299,E,N.Y. POLICE DEPT,2010-03-27,481846,f6a0568,986195,170328
2010-03-01 09:00,GRAND LARCENY,BROOKLYN,75,40.67365,-73.87052,I,N.Y. POLICE DEPT,2010-03-30,481847,a2e8499a,1020166,184728
2010-03-01 09:00,GRAND LARCENY,MANHATTAN,13,40.74431,-73.99022,I,N.Y. POLICE DEPT,2010-03-02,481848,8133a110,986961,210445
2010-03-01 09:00,GRAND LARCENY,QUEENS,111,40.74889,-73.77945,D,N.Y. POLICE DEPT,2010-03-25,481849,9e116183,1045359,212193
2010-03-01 09:00,GRAND LARCENY,QUEENS,111,40.75667,-73.73221,C,N.Y. POLICE DEPT,2010-03-24,481850,aab73e57,1058441,215061
2010-03-01 09:00,BURGLARY,MANHATTAN,19,40.76944,-73.96391,B,N.Y. POLICE DEPT,2010-03-01,481851,4aee2565,994246,219603
2010-03-01 09:00,GRAND LARCENY,MANHATTAN,20,40.78007,-73.975,F,N.Y. POLICE DEPT,2010-07-03,481852,aa08407b,991175,223476
2010-03-01 09:00,GRAND LARCENY,MANHATTAN,28,40.80601,-73.95702,H,N.Y. POLICE DEPT,2010-03-09,481853,65dff6b2,996148,232927
2010-03-01 09:00,FELONY ASSAULT,BRONX,42,40.83798,-73.88526,D,N.Y. POLICE DEPT,2010-03-05,481854,c819aa63,1016001,244593
2010-03-01 09:00,BURGLARY,BRONX,48,40.85574,-73.88982,B,N.Y. POLICE DEPT,2010-03-01,481855,4cebc063,1014729,251064
2010-03-01 09:09,ROBBERY,BRONX,43,40.82391,-73.87754,E,N.Y. POLICE DEPT,2010-03-01,481856,c7542042,1018144,239472
2010-03-01 09:20,BURGLARY,BROOKLYN,68,40.61606,-74.01722,B,N.Y. POLICE DEPT,2010-03-01,482160,fee62264,979469,163722
2010-03-01 09:25,GRAND LARCENY,MANHATTAN,17,40.74476,-73.97884,A,N.Y. POLICE DEPT,2010-03-01,482161,4dd092ed,990115,210610
2010-03-01 09:30,BURGLARY,BROOKLYN,77,40.67144,-73.9548,D,N.Y. POLICE DEPT,2010-03-01,482162,7c7668d3,996790,183901
